id,pop,ocean
GE-ID018,ID,Indian
GE-ID019,ID,Indian
GE-ID020,ID,Indian
GE-ID021,ID,Indian
GE-ID022,ID,Indian
GE-ID023,ID,Indian
GE-ID024,ID,Indian
GE-ID025,ID,Indian
GE-ID026,ID,Indian
GE-ID027,ID,Indian
GE-ID028,ID,Indian
GE-ID029,ID,Indian
GE-ID030,ID,Indian
GE-ID031,ID,Indian
GE-ID032,ID,Indian
GE-ID033,ID,Indian
GE-ID034,ID,Indian
GE-ID035,ID,Indian
GE-ID036,ID,Indian
GE-ID038,ID,Indian
GE-ID039,ID,Indian
GE-ID040,ID,Indian
GE-ID041,ID,Indian
GE-ID042,ID,Indian
GE-ID043,ID,Indian
GE-ID044,ID,Indian
GE-ID045,ID,Indian
GE-ID046,ID,Indian
GE-ID047,ID,Indian
GE-ID048,ID,Indian
GE-ID049,ID,Indian
GE-ID050,ID,Indian
GE-ID051,ID,Indian
GE-ID052,ID,Indian
GE-ID053,ID,Indian
GE-ID054,ID,Indian
GE-ID055,ID,Indian
GE-ID056,ID,Indian
GE-ID057,ID,Indian
GE-ID058,ID,Indian
GE-ID059,ID,Indian
GE-ID060,ID,Indian
GE-ID061,ID,Indian
GE-ID062,ID,Indian
GE-ID063,ID,Indian
GE-ID064,ID,Indian
GE-ID065,ID,Indian
GE-ID066,ID,Indian
GE-ID067,ID,Indian
GE-ID068,ID,Indian
GE-ID069,ID,Indian
GE-IE001,IE,Indian
GE-IE002,IE,Indian
GE-IE003,IE,Indian
GE-IE004,IE,Indian
GE-IE005,IE,Indian
GE-IE006,IE,Indian
GE-IE007,IE,Indian
GE-IE008,IE,Indian
GE-IE009,IE,Indian
GE-IE010,IE,Indian
GE-IE011,IE,Indian
GE-IE012,IE,Indian
GE-IE013,IE,Indian
GE-IE014,IE,Indian
GE-IE015,IE,Indian
GE-IE016,IE,Indian
GE-IE017,IE,Indian
GE-IE018,IE,Indian
GE-IE019,IE,Indian
GE-IE020,IE,Indian
GE-IE021,IE,Indian
GE-IE022,IE,Indian
GE-IE023,IE,Indian
GE-IE024,IE,Indian
GE-IE025,IE,Indian
GE-IE026,IE,Indian
GE-IE028,IE,Indian
GE-IE029,IE,Indian
GE-IE030,IE,Indian
GE-IE031,IE,Indian
GE-IE032,IE,Indian
GE-IE033,IE,Indian
GE-IE034,IE,Indian
GE-IE035,IE,Indian
GE-IE036,IE,Indian
GE-IE037,IE,Indian
GE-IE038,IE,Indian
GE-IE039,IE,Indian
GE-IE040,IE,Indian
GE-IE041,IE,Indian
GE-IE042,IE,Indian
GE-IE043,IE,Indian
GE-IE044,IE,Indian
GE-IE045,IE,Indian
GE-IE046,IE,Indian
GE-IE047,IE,Indian
GE-IE048,IE,Indian
GE-IE049,IE,Indian
GE-IE050,IE,Indian
GE-IE051,IE,Indian
GE-IE052,IE,Indian
GE-IE053,IE,Indian
GE-IE054,IE,Indian
GE-IE055,IE,Indian
GE-IE056,IE,Indian
GE-IE057,IE,Indian
GE-IE058,IE,Indian
GE-IE059,IE,Indian
GE-IE060,IE,Indian
GE-IE061,IE,Indian
GE-IE062,IE,Indian
GE-IE063,IE,Indian
GE-IE064,IE,Indian
GE-IE065,IE,Indian
GE-IE066,IE,Indian
GE-IE067,IE,Indian
GE-IE068,IE,Indian
GE-IE069,IE,Indian
GE-IE070,IE,Indian
GE-IE071,IE,Indian
GE-IE072,IE,Indian
GE-IF001,IF,Indian
GE-IF002,IF,Indian
GE-IF003,IF,Indian
